City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saskylakh,71.9167,114.0833,34.02,99,100,7.47,RU,1619754043
Lebu,-37.6167,-73.65,55.09,94,100,8.59,CL,1619754043
Polis,35.0367,32.4264,66.2,27,0,5.75,CY,1619754043
Mahébourg,-20.4081,57.7,77.0,83,75,14.97,MU,1619754044
Princeton,25.5384,-80.4089,78.8,83,1,3.44,US,1619754044
Okhotsk,59.3833,143.3,39.87,73,94,2.93,RU,1619754044
Noumea,-22.2763,166.4572,80.6,50,40,6.91,NC,1619754045
Jamestown,42.097,-79.2353,46.0,100,90,12.66,US,1619754045
Mar del Plata,-38.0023,-57.5575,61.0,88,0,3.44,AR,1619754045
Jūnāgarh,19.8667,82.9333,99.36,23,2,6.24,IN,1619754046
Airai,-8.9266,125.4092,74.89,58,31,2.86,TL,1619754046
Upernavik,72.7868,-56.1549,22.51,57,98,4.97,GL,1619754046
Avera,33.194,-82.5271,71.6,68,1,5.75,US,1619754047
Port Blair,11.6667,92.75,87.8,79,40,3.44,IN,1619753771
Dikson,73.5069,80.5464,12.02,88,45,10.42,RU,1619754047
Cape Town,-33.9258,18.4232,59.0,82,20,11.5,ZA,1619754000
Ambunti,-4.2365,142.8448,93.52,47,70,2.86,PG,1619754048
Punta Arenas,-53.15,-70.9167,42.8,93,90,8.05,CL,1619754048
Kavieng,-2.5744,150.7967,84.85,68,41,9.28,PG,1619754048
Ushuaia,-54.8,-68.3,39.2,70,75,3.09,AR,1619753881
Kalangala,-0.3089,32.225,72.57,70,100,11.12,UG,1619754049
Wexford,52.3342,-6.4575,37.99,91,89,7.43,IE,1619754049
Longyearbyen,78.2186,15.6401,19.4,68,40,10.36,SJ,1619754050
Busselton,-33.65,115.3333,63.0,69,40,1.99,AU,1619753921
Yellowknife,62.456,-114.3525,30.2,55,20,10.36,CA,1619754050
Broken Hill,-31.95,141.4333,78.8,24,0,6.91,AU,1619754050
Apple Valley,34.5008,-117.1859,71.01,19,7,1.9,US,1619754051
Sobolevo,54.4299,31.8996,46.45,93,100,17.56,RU,1619754051
Walvis Bay,-22.9575,14.5053,48.2,93,0,8.05,NA,1619754051
Lishu,43.3047,124.3278,56.71,27,100,1.28,CN,1619754052
Kapaa,22.0752,-159.319,73.99,59,11,3.0,US,1619754052
Vershino-Darasunskiy,52.35,115.5167,33.78,89,99,11.18,RU,1619754053
Carnarvon,-24.8667,113.6333,77.0,57,40,19.57,AU,1619754053
Kommunar,59.6206,30.39,33.8,69,0,4.47,RU,1619754053
Watsa,3.0372,29.5355,63.59,99,98,0.92,CD,1619754054
Mirny,62.5353,113.9611,37.26,63,100,7.47,RU,1619754054
Port Elizabeth,-33.918,25.5701,55.4,88,0,6.91,ZA,1619754054
Mayo,38.8876,-76.5119,78.8,47,90,6.91,US,1619754055
Hellvik,59.9156,5.781,37.99,73,4,4.0,NO,1619754055
Wasco,35.5941,-119.341,80.6,24,1,5.75,US,1619754055
Albany,42.6001,-73.9662,55.99,89,100,2.13,US,1619754050
Butaritari,3.0707,172.7902,83.88,71,99,9.57,KI,1619754056
Catolé do Rocha,-6.3439,-37.7467,70.52,94,99,3.69,BR,1619754056
Sémbé,1.6481,14.5806,68.5,92,56,1.9,CG,1619754056
Faanui,-16.4833,-151.75,81.55,69,98,2.77,PF,1619754057
Hithadhoo,-0.6,73.0833,83.95,71,57,6.62,MV,1619754057
Castro,-24.7911,-50.0119,48.16,99,14,4.74,BR,1619754057
Lamu,-2.2717,40.902,80.38,82,88,9.64,KE,1619754058
Kaitangata,-46.2817,169.8464,53.01,67,41,10.0,NZ,1619754058
Kieta,-6.2167,155.6333,82.42,77,37,1.68,PG,1619754058
Kapit,2.0167,112.9333,90.32,56,59,2.1,MY,1619754059
Atuona,-9.8,-139.0333,79.32,70,9,5.28,PF,1619754059
Fallon,39.4735,-118.7774,72.0,17,75,5.75,US,1619754059
Fort-Shevchenko,44.5086,50.263,59.99,52,100,20.22,KZ,1619754060
Hilo,19.7297,-155.09,80.6,61,90,6.91,US,1619754060
Nichinan,31.6,131.3667,77.0,47,20,25.32,JP,1619754060
Lucknow,26.85,80.9167,84.2,54,40,6.91,IN,1619754061
Yangi Marg`ilon,40.4272,71.7189,80.6,22,2,4.61,UZ,1619754061
Soyo,-6.1349,12.3689,78.69,89,99,4.76,AO,1619754062
Arraial do Cabo,-22.9661,-42.0278,72.36,67,24,8.39,BR,1619754062
Severo-Kuril'sk,50.6789,156.125,40.91,75,21,8.39,RU,1619754062
Hamilton,39.1834,-84.5333,55.4,76,1,8.05,US,1619753850
Adana Province,36.985,35.2881,68.0,83,0,4.61,TR,1619754063
Mataura,-46.1927,168.8643,54.0,75,27,13.0,NZ,1619754063
Berezniki,59.4152,56.8124,34.0,72,62,3.0,RU,1619754064
Rikitea,-23.1203,-134.9692,77.25,69,89,12.55,PF,1619754064
Goderich,43.7501,-81.7165,42.8,93,92,2.3,CA,1619754064
Bluff,-46.6,168.3333,54.0,75,27,13.0,NZ,1619754065
Ombessa,4.603,11.2565,68.79,96,100,0.43,CM,1619754065
